,0,1
1947,Jones (D-AL),Nay
1948,Kaine (D-VA),Yea
1949,Kennedy (R-LA),Nay
1950,King (I-ME),Nay
1951,Klobuchar (D-MN),Yea
1952,Lankford (R-OK),Nay
1953,Leahy (D-VT),Yea
1954,Lee (R-UT),Yea
1955,Manchin (D-WV),Nay
1956,Markey (D-MA),Yea
1957,McConnell (R-KY),Nay
1958,McSally (R-AZ),Nay
1959,Menendez (D-NJ),Yea
1960,Merkley (D-OR),Yea
1961,Moran (R-KS),Yea
1962,Murkowski (R-AK),Nay
1963,Murphy (D-CT),Yea
1964,Murray (D-WA),Yea
1965,Paul (R-KY),Yea
1966,Perdue (R-GA),Nay
1967,Peters (D-MI),Yea
1968,Portman (R-OH),Nay
1969,Reed (D-RI),Yea
1970,Risch (R-ID),Nay
1971,Roberts (R-KS),Nay
1972,Romney (R-UT),Nay
1973,Rosen (D-NV),Yea
1974,Rounds (R-SD),Nay
1975,Rubio (R-FL),Nay
1976,Sanders (I-VT),Yea
1977,Sasse (R-NE),Nay
1978,Schatz (D-HI),Yea
1979,Schumer (D-NY),Yea
1980,Scott (R-FL),Nay
1981,Scott (R-SC),Nay
1982,Shaheen (D-NH),Nay
1983,Shelby (R-AL),Nay
1984,Sinema (D-AZ),Nay
1985,Smith (D-MN),Yea
1986,Stabenow (D-MI),Yea
1987,Sullivan (R-AK),Nay
1988,Tester (D-MT),Nay
1989,Thune (R-SD),Nay
1990,Tillis (R-NC),Nay
1991,Toomey (R-PA),Nay
1992,Udall (D-NM),Yea
1993,Van Hollen (D-MD),Yea
1994,Warner (D-VA),Nay
1995,Warren (D-MA),Yea
1996,Whitehouse (D-RI),Yea
1997,Wicker (R-MS),Nay
1998,Wyden (D-OR),Yea
1999,Young (R-IN),Nay
2000,Alexander (R-TN),Not Voting
2001,Baldwin (D-WI),Nay
2002,Barrasso (R-WY),Yea
2003,Bennet (D-CO),Nay
2004,Blackburn (R-TN),Yea
2005,Blumenthal (D-CT),Nay
2006,Blunt (R-MO),Nay
2007,Booker (D-NJ),Not Voting
2008,Boozman (R-AR),Nay
2009,Braun (R-IN),Yea
2010,Brown (D-OH),Nay
2011,Burr (R-NC),Nay
2012,Cantwell (D-WA),Nay
2013,Capito (R-WV),Not Voting
2014,Cardin (D-MD),Nay
2015,Carper (D-DE),Nay
2016,Casey (D-PA),Nay
2017,Cassidy (R-LA),Nay
2018,Collins (R-ME),Nay
2019,Coons (D-DE),Nay
2020,Cornyn (R-TX),Yea
2021,Cortez Masto (D-NV),Nay
2022,Cotton (R-AR),Nay
2023,Cramer (R-ND),Nay
2024,Crapo (R-ID),Yea
2025,Cruz (R-TX),Yea
2026,Daines (R-MT),Yea
2027,Duckworth (D-IL),Nay
2028,Durbin (D-IL),Nay
2029,Enzi (R-WY),Nay
2030,Ernst (R-IA),Yea
2031,Feinstein (D-CA),Nay
2032,Fischer (R-NE),Yea
2033,Gardner (R-CO),Nay
2034,Gillibrand (D-NY),Nay
2035,Graham (R-SC),Nay
2036,Grassley (R-IA),Yea
2037,Harris (D-CA),Not Voting
2038,Hassan (D-NH),Nay
2039,Hawley (R-MO),Nay
2040,Heinrich (D-NM),Nay
2041,Hirono (D-HI),Nay
2042,Hoeven (R-ND),Nay
2043,Hyde-Smith (R-MS),Not Voting
2044,Inhofe (R-OK),Nay
2045,Isakson (R-GA),Yea
2046,Johnson (R-WI),Nay
2047,Jones (D-AL),Nay
2048,Kaine (D-VA),Nay
2049,Kennedy (R-LA),Yea
2050,King (I-ME),Nay
2051,Klobuchar (D-MN),Nay
2052,Lankford (R-OK),Yea
2053,Leahy (D-VT),Nay
2054,Lee (R-UT),Yea
2055,Manchin (D-WV),Nay
2056,Markey (D-MA),Nay
2057,McConnell (R-KY),Nay
2058,McSally (R-AZ),Nay
2059,Menendez (D-NJ),Nay
2060,Merkley (D-OR),Nay
2061,Moran (R-KS),Not Voting
2062,Murkowski (R-AK),Nay
2063,Murphy (D-CT),Nay
2064,Murray (D-WA),Nay
2065,Paul (R-KY),Yea
2066,Perdue (R-GA),Not Voting
2067,Peters (D-MI),Nay
2068,Portman (R-OH),Nay
2069,Reed (D-RI),Nay
2070,Risch (R-ID),Yea
2071,Roberts (R-KS),Nay
2072,Romney (R-UT),Yea
2073,Rosen (D-NV),Nay
2074,Rounds (R-SD),Nay
2075,Rubio (R-FL),Nay
2076,Sanders (I-VT),Not Voting
2077,Sasse (R-NE),Yea
2078,Schatz (D-HI),Nay
2079,Schumer (D-NY),Nay
2080,Scott (R-FL),Nay
2081,Scott (R-SC),Yea
2082,Shaheen (D-NH),Nay
2083,Shelby (R-AL),Yea
2084,Sinema (D-AZ),Nay
2085,Smith (D-MN),Nay
2086,Stabenow (D-MI),Nay
2087,Sullivan (R-AK),Nay
2088,Tester (D-MT),Nay
2089,Thune (R-SD),Nay
2090,Tillis (R-NC),Yea
2091,Toomey (R-PA),Yea
2092,Udall (D-NM),Nay
2093,Van Hollen (D-MD),Nay
2094,Warner (D-VA),Nay
2095,Warren (D-MA),Not Voting
2096,Whitehouse (D-RI),Nay
2097,Wicker (R-MS),Nay
2098,Wyden (D-OR),Nay
2099,Young (R-IN),Nay
2100,Alexander (R-TN),Yea
2101,Baldwin (D-WI),Yea
2102,Barrasso (R-WY),Yea
2103,Bennet (D-CO),Yea
2104,Blackburn (R-TN),Yea
2105,Blumenthal (D-CT),Yea
2106,Blunt (R-MO),Yea
2107,Booker (D-NJ),Yea
2108,Boozman (R-AR),Yea
2109,Braun (R-IN),Yea
2110,Brown (D-OH),Yea
2111,Burr (R-NC),Yea
2112,Cantwell (D-WA),Yea
2113,Capito (R-WV),Yea
2114,Cardin (D-MD),Yea
2115,Carper (D-DE),Yea
2116,Casey (D-PA),Yea
2117,Cassidy (R-LA),Yea
2118,Collins (R-ME),Yea
2119,Coons (D-DE),Yea
2120,Cornyn (R-TX),Yea
2121,Cortez Masto (D-NV),Yea
2122,Cotton (R-AR),Yea
2123,Cramer (R-ND),Yea
2124,Crapo (R-ID),Yea
2125,Cruz (R-TX),Yea
2126,Daines (R-MT),Yea
2127,Duckworth (D-IL),Yea
2128,Durbin (D-IL),Yea
2129,Enzi (R-WY),Yea
2130,Ernst (R-IA),Yea
2131,Feinstein (D-CA),Yea
2132,Fischer (R-NE),Yea
2133,Gardner (R-CO),Yea
2134,Gillibrand (D-NY),Yea
2135,Graham (R-SC),Yea
2136,Grassley (R-IA),Yea
2137,Harris (D-CA),Yea
2138,Hassan (D-NH),Yea
2139,Hawley (R-MO),Yea
2140,Heinrich (D-NM),Yea
2141,Hirono (D-HI),Yea
2142,Hoeven (R-ND),Yea
2143,Hyde-Smith (R-MS),Yea
2144,Inhofe (R-OK),Not Voting
2145,Isakson (R-GA),Yea
2146,Johnson (R-WI),Yea
2147,Jones (D-AL),Yea
2148,Kaine (D-VA),Yea
2149,Kennedy (R-LA),Yea
2150,King (I-ME),Yea
2151,Klobuchar (D-MN),Yea
2152,Lankford (R-OK),Yea
2153,Leahy (D-VT),Yea
2154,Lee (R-UT),Yea
2155,Manchin (D-WV),Yea
2156,Markey (D-MA),Yea
2157,McConnell (R-KY),Yea
2158,McSally (R-AZ),Yea
2159,Menendez (D-NJ),Yea
2160,Merkley (D-OR),Yea
2161,Moran (R-KS),Yea
2162,Murkowski (R-AK),Yea
2163,Murphy (D-CT),Yea
2164,Murray (D-WA),Yea
2165,Paul (R-KY),Nay
2166,Perdue (R-GA),Yea
2167,Peters (D-MI),Yea
2168,Portman (R-OH),Yea
2169,Reed (D-RI),Yea
2170,Risch (R-ID),Yea
2171,Roberts (R-KS),Yea
2172,Romney (R-UT),Yea
2173,Rosen (D-NV),Yea
2174,Rounds (R-SD),Not Voting
2175,Rubio (R-FL),Yea
2176,Sanders (I-VT),Yea
2177,Sasse (R-NE),Yea
2178,Schatz (D-HI),Yea
2179,Schumer (D-NY),Yea
2180,Scott (R-FL),Yea
2181,Scott (R-SC),Yea
2182,Shaheen (D-NH),Yea
2183,Shelby (R-AL),Yea
2184,Sinema (D-AZ),Yea
2185,Smith (D-MN),Yea
2186,Stabenow (D-MI),Yea
2187,Sullivan (R-AK),Yea
2188,Tester (D-MT),Yea
2189,Thune (R-SD),Yea
2190,Tillis (R-NC),Yea
2191,Toomey (R-PA),Yea
2192,Udall (D-NM),Yea
2193,Van Hollen (D-MD),Yea
2194,Warner (D-VA),Yea
2195,Warren (D-MA),Yea
2196,Whitehouse (D-RI),Yea
2197,Wicker (R-MS),Yea
2198,Wyden (D-OR),Yea
2199,Young (R-IN),Yea
2200,Alexander (R-TN),Nay
2201,Baldwin (D-WI),Yea
2202,Barrasso (R-WY),Nay
2203,Bennet (D-CO),Not Voting
2204,Blackburn (R-TN),Nay
2205,Blumenthal (D-CT),Yea
2206,Blunt (R-MO),Nay
2207,Booker (D-NJ),Yea
2208,Boozman (R-AR),Nay
2209,Braun (R-IN),Nay
2210,Brown (D-OH),Yea
2211,Burr (R-NC),Nay
2212,Cantwell (D-WA),Yea
2213,Capito (R-WV),Nay
2214,Cardin (D-MD),Yea
2215,Carper (D-DE),Yea
2216,Casey (D-PA),Yea
2217,Cassidy (R-LA),Nay
2218,Collins (R-ME),Yea
2219,Coons (D-DE),Yea
2220,Cornyn (R-TX),Nay
2221,Cortez Masto (D-NV),Yea
2222,Cotton (R-AR),Nay
2223,Cramer (R-ND),Nay
2224,Crapo (R-ID),Nay
2225,Cruz (R-TX),Nay
2226,Daines (R-MT),Yea
2227,Duckworth (D-IL),Yea
2228,Durbin (D-IL),Yea
2229,Enzi (R-WY),Nay
2230,Ernst (R-IA),Nay
2231,Feinstein (D-CA),Yea
2232,Fischer (R-NE),Nay
2233,Gardner (R-CO),Nay
2234,Gillibrand (D-NY),Yea
2235,Graham (R-SC),Nay
2236,Grassley (R-IA),Nay
2237,Harris (D-CA),Yea
2238,Hassan (D-NH),Yea
2239,Hawley (R-MO),Nay
2240,Heinrich (D-NM),Yea
2241,Hirono (D-HI),Yea
2242,Hoeven (R-ND),Nay
2243,Hyde-Smith (R-MS),Nay
2244,Inhofe (R-OK),Nay
2245,Isakson (R-GA),Nay
2246,Johnson (R-WI),Nay
2247,Jones (D-AL),Yea
2248,Kaine (D-VA),Yea
2249,Kennedy (R-LA),Nay
2250,King (I-ME),Yea
2251,Klobuchar (D-MN),Yea
2252,Lankford (R-OK),Nay
2253,Leahy (D-VT),Yea
2254,Lee (R-UT),Yea
2255,Manchin (D-WV),Yea
2256,Markey (D-MA),Yea
2257,McConnell (R-KY),Nay
2258,McSally (R-AZ),Nay
2259,Menendez (D-NJ),Yea
2260,Merkley (D-OR),Yea
2261,Moran (R-KS),Yea
2262,Murkowski (R-AK),Yea
2263,Murphy (D-CT),Yea
2264,Murray (D-WA),Yea
2265,Paul (R-KY),Yea
2266,Perdue (R-GA),Nay
2267,Peters (D-MI),Yea
2268,Portman (R-OH),Nay
2269,Reed (D-RI),Yea
2270,Risch (R-ID),Nay
2271,Roberts (R-KS),Nay
2272,Romney (R-UT),Nay
2273,Rosen (D-NV),Yea
2274,Rounds (R-SD),Nay
2275,Rubio (R-FL),Not Voting
2276,Sanders (I-VT),Yea
2277,Sasse (R-NE),Nay
2278,Schatz (D-HI),Yea
2279,Schumer (D-NY),Yea
2280,Scott (R-FL),Nay
2281,Scott (R-SC),Nay
2282,Shaheen (D-NH),Yea
2283,Shelby (R-AL),Nay
2284,Sinema (D-AZ),Yea
2285,Smith (D-MN),Yea
2286,Stabenow (D-MI),Yea
2287,Sullivan (R-AK),Nay
2288,Tester (D-MT),Yea
2289,Thune (R-SD),Nay
2290,Tillis (R-NC),Nay
2291,Toomey (R-PA),Nay
2292,Udall (D-NM),Yea
2293,Van Hollen (D-MD),Yea
2294,Warner (D-VA),Yea
2295,Warren (D-MA),Yea
2296,Whitehouse (D-RI),Yea
2297,Wicker (R-MS),Nay
2298,Wyden (D-OR),Yea
2299,Young (R-IN),Yea
2300,Alexander (R-TN),Yea
2301,Baldwin (D-WI),Nay
2302,Barrasso (R-WY),Yea
2303,Bennet (D-CO),Nay
2304,Blackburn (R-TN),Yea
2305,Blumenthal (D-CT),Nay
2306,Blunt (R-MO),Yea
2307,Booker (D-NJ),Nay
2308,Boozman (R-AR),Yea
2309,Braun (R-IN),Yea
2310,Brown (D-OH),Nay
2311,Burr (R-NC),Yea
2312,Cantwell (D-WA),Nay
2313,Capito (R-WV),Yea
2314,Cardin (D-MD),Nay
2315,Carper (D-DE),Nay
2316,Casey (D-PA),Nay
2317,Cassidy (R-LA),Yea
2318,Collins (R-ME),Yea
2319,Coons (D-DE),Nay
2320,Cornyn (R-TX),Yea
2321,Cortez Masto (D-NV),Nay
2322,Cotton (R-AR),Yea
2323,Cramer (R-ND),Yea
2324,Crapo (R-ID),Yea
2325,Cruz (R-TX),Yea
2326,Daines (R-MT),Yea
2327,Duckworth (D-IL),Nay
2328,Durbin (D-IL),Nay
2329,Enzi (R-WY),Yea
2330,Ernst (R-IA),Yea
2331,Feinstein (D-CA),Nay
2332,Fischer (R-NE),Yea
2333,Gardner (R-CO),Yea
2334,Gillibrand (D-NY),Nay
2335,Graham (R-SC),Yea
2336,Grassley (R-IA),Yea
2337,Harris (D-CA),Not Voting
2338,Hassan (D-NH),Nay
2339,Hawley (R-MO),Yea
2340,Heinrich (D-NM),Nay
2341,Hirono (D-HI),Nay
2342,Hoeven (R-ND),Yea
2343,Hyde-Smith (R-MS),Yea
2344,Inhofe (R-OK),Yea
2345,Isakson (R-GA),Yea
2346,Johnson (R-WI),Yea
2347,Jones (D-AL),Nay
2348,Kaine (D-VA),Nay
2349,Kennedy (R-LA),Yea
2350,King (I-ME),Nay
2351,Klobuchar (D-MN),Nay
2352,Lankford (R-OK),Yea
2353,Leahy (D-VT),Nay
2354,Lee (R-UT),Nay
2355,Manchin (D-WV),Nay
2356,Markey (D-MA),Nay
2357,McConnell (R-KY),Nay
2358,McSally (R-AZ),Yea
2359,Menendez (D-NJ),Nay
2360,Merkley (D-OR),Nay
2361,Moran (R-KS),Yea
2362,Murkowski (R-AK),Yea
2363,Murphy (D-CT),Nay
2364,Murray (D-WA),Nay
2365,Paul (R-KY),Yea
2366,Perdue (R-GA),Yea
2367,Peters (D-MI),Nay
2368,Portman (R-OH),Yea
2369,Reed (D-RI),Nay
2370,Risch (R-ID),Yea
2371,Roberts (R-KS),Yea
2372,Romney (R-UT),Yea
2373,Rosen (D-NV),Nay
2374,Rounds (R-SD),Yea
2375,Rubio (R-FL),Yea
2376,Sanders (I-VT),Nay
2377,Sasse (R-NE),Yea
2378,Schatz (D-HI),Nay
2379,Schumer (D-NY),Nay
2380,Scott (R-FL),Yea
2381,Scott (R-SC),Yea
2382,Shaheen (D-NH),Nay
2383,Shelby (R-AL),Yea
2384,Sinema (D-AZ),Nay
2385,Smith (D-MN),Nay
2386,Stabenow (D-MI),Nay
2387,Sullivan (R-AK),Yea
2388,Tester (D-MT),Nay
2389,Thune (R-SD),Yea
2390,Tillis (R-NC),Yea
2391,Toomey (R-PA),Yea
2392,Udall (D-NM),Nay
2393,Van Hollen (D-MD),Nay
2394,Warner (D-VA),Nay
2395,Warren (D-MA),Nay
2396,Whitehouse (D-RI),Nay
2397,Wicker (R-MS),Yea
2398,Wyden (D-OR),Nay
2399,Young (R-IN),Yea
2400,Alexander (R-TN),Nay
2401,Baldwin (D-WI),Present
2402,Barrasso (R-WY),Nay
2403,Bennet (D-CO),Present
2404,Blackburn (R-TN),Nay
2405,Blumenthal (D-CT),Present
2406,Blunt (R-MO),Nay
2407,Booker (D-NJ),Present
2408,Boozman (R-AR),Nay
2409,Braun (R-IN),Nay
2410,Brown (D-OH),Present
2411,Burr (R-NC),Nay
2412,Cantwell (D-WA),Present
2413,Capito (R-WV),Nay
2414,Cardin (D-MD),Present
2415,Carper (D-DE),Present
2416,Casey (D-PA),Present
2417,Cassidy (R-LA),Nay
2418,Collins (R-ME),Nay
2419,Coons (D-DE),Present
2420,Cornyn (R-TX),Nay
2421,Cortez Masto (D-NV),Present
2422,Cotton (R-AR),Nay
2423,Cramer (R-ND),Nay
2424,Crapo (R-ID),Nay
2425,Cruz (R-TX),Nay
2426,Daines (R-MT),Nay
2427,Duckworth (D-IL),Present
2428,Durbin (D-IL),Present
2429,Enzi (R-WY),Nay
2430,Ernst (R-IA),Nay
2431,Feinstein (D-CA),Present
2432,Fischer (R-NE),Nay
2433,Gardner (R-CO),Nay
2434,Gillibrand (D-NY),Present
2435,Graham (R-SC),Nay
2436,Grassley (R-IA),Nay
2437,Harris (D-CA),Present
2438,Hassan (D-NH),Present
2439,Hawley (R-MO),Nay
2440,Heinrich (D-NM),Present
2441,Hirono (D-HI),Present
2442,Hoeven (R-ND),Nay
2443,Hyde-Smith (R-MS),Nay
2444,Inhofe (R-OK),Nay
2445,Isakson (R-GA),Nay
2446,Johnson (R-WI),Nay
2447,Jones (D-AL),Nay
2448,Kaine (D-VA),Present
2449,Kennedy (R-LA),Nay
2450,King (I-ME),Nay
2451,Klobuchar (D-MN),Present
2452,Lankford (R-OK),Nay
2453,Leahy (D-VT),Present
2454,Lee (R-UT),Nay
2455,Manchin (D-WV),Nay
2456,Markey (D-MA),Present
2457,McConnell (R-KY),Nay
2458,McSally (R-AZ),Nay
2459,Menendez (D-NJ),Present
2460,Merkley (D-OR),Present
2461,Moran (R-KS),Nay
2462,Murkowski (R-AK),Nay
2463,Murphy (D-CT),Present
2464,Murray (D-WA),Present
2465,Paul (R-KY),Nay
2466,Perdue (R-GA),Nay
2467,Peters (D-MI),Present
2468,Portman (R-OH),Nay
2469,Reed (D-RI),Present
2470,Risch (R-ID),Nay
2471,Roberts (R-KS),Nay
2472,Romney (R-UT),Nay
2473,Rosen (D-NV),Present
2474,Rounds (R-SD),Nay
2475,Rubio (R-FL),Nay
2476,Sanders (I-VT),Present
2477,Sasse (R-NE),Nay
2478,Schatz (D-HI),Present
2479,Schumer (D-NY),Present
2480,Scott (R-FL),Nay
2481,Scott (R-SC),Nay
2482,Shaheen (D-NH),Present
2483,Shelby (R-AL),Nay
2484,Sinema (D-AZ),Nay
2485,Smith (D-MN),Present
2486,Stabenow (D-MI),Present
2487,Sullivan (R-AK),Nay
2488,Tester (D-MT),Present
2489,Thune (R-SD),Nay
2490,Tillis (R-NC),Nay
2491,Toomey (R-PA),Nay
2492,Udall (D-NM),Present
2493,Van Hollen (D-MD),Present
2494,Warner (D-VA),Present
2495,Warren (D-MA),Present
2496,Whitehouse (D-RI),Present
2497,Wicker (R-MS),Nay
2498,Wyden (D-OR),Present
2499,Young (R-IN),Nay
2500,Alexander (R-TN),Nay
2501,Baldwin (D-WI),Yea
2502,Barrasso (R-WY),Nay
2503,Bennet (D-CO),Yea
2504,Blackburn (R-TN),Nay
2505,Blumenthal (D-CT),Yea
2506,Blunt (R-MO),Nay
2507,Booker (D-NJ),Yea
2508,Boozman (R-AR),Nay
2509,Braun (R-IN),Nay
2510,Brown (D-OH),Yea
2511,Burr (R-NC),Nay
2512,Cantwell (D-WA),Yea
2513,Capito (R-WV),Nay
2514,Cardin (D-MD),Yea
2515,Carper (D-DE),Yea
2516,Casey (D-PA),Yea
2517,Cassidy (R-LA),Nay
2518,Collins (R-ME),Yea
2519,Coons (D-DE),Yea
2520,Cornyn (R-TX),Nay
2521,Cortez Masto (D-NV),Yea
2522,Cotton (R-AR),Nay
2523,Cramer (R-ND),Nay
2524,Crapo (R-ID),Nay
2525,Cruz (R-TX),Nay
2526,Daines (R-MT),Yea
2527,Duckworth (D-IL),Yea
2528,Durbin (D-IL),Yea
2529,Enzi (R-WY),Nay
2530,Ernst (R-IA),Nay
2531,Feinstein (D-CA),Yea
2532,Fischer (R-NE),Nay
2533,Gardner (R-CO),Nay
2534,Gillibrand (D-NY),Yea
2535,Graham (R-SC),Nay
2536,Grassley (R-IA),Nay
2537,Harris (D-CA),Yea
2538,Hassan (D-NH),Yea
2539,Hawley (R-MO),Nay
2540,Heinrich (D-NM),Yea
2541,Hirono (D-HI),Yea
2542,Hoeven (R-ND),Nay
2543,Hyde-Smith (R-MS),Nay
2544,Inhofe (R-OK),Nay
2545,Isakson (R-GA),Nay
2546,Johnson (R-WI),Nay
2547,Jones (D-AL),Yea
2548,Kaine (D-VA),Yea
2549,Kennedy (R-LA),Nay
2550,King (I-ME),Yea
2551,Klobuchar (D-MN),Yea
2552,Lankford (R-OK),Nay
2553,Leahy (D-VT),Yea
2554,Lee (R-UT),Yea
2555,Manchin (D-WV),Yea
2556,Markey (D-MA),Yea
2557,McConnell (R-KY),Nay
2558,McSally (R-AZ),Nay
2559,Menendez (D-NJ),Yea
2560,Merkley (D-OR),Yea
2561,Moran (R-KS),Yea
2562,Murkowski (R-AK),Yea
2563,Murphy (D-CT),Yea
2564,Murray (D-WA),Yea
2565,Paul (R-KY),Yea
2566,Perdue (R-GA),Nay
2567,Peters (D-MI),Yea
2568,Portman (R-OH),Nay
2569,Reed (D-RI),Yea
2570,Risch (R-ID),Nay
2571,Roberts (R-KS),Nay
2572,Romney (R-UT),Nay
2573,Rosen (D-NV),Yea
2574,Rounds (R-SD),Nay
2575,Rubio (R-FL),Nay
2576,Sanders (I-VT),Yea
2577,Sasse (R-NE),Nay
2578,Schatz (D-HI),Yea
2579,Schumer (D-NY),Yea
2580,Scott (R-FL),Nay
2581,Scott (R-SC),Nay
2582,Shaheen (D-NH),Yea
2583,Shelby (R-AL),Nay
2584,Sinema (D-AZ),Yea
2585,Smith (D-MN),Yea
2586,Stabenow (D-MI),Yea
2587,Sullivan (R-AK),Nay
2588,Tester (D-MT),Yea
2589,Thune (R-SD),Nay
2590,Tillis (R-NC),Nay
2591,Toomey (R-PA),Nay
2592,Udall (D-NM),Yea
2593,Van Hollen (D-MD),Yea
2594,Warner (D-VA),Yea
2595,Warren (D-MA),Yea
2596,Whitehouse (D-RI),Yea
2597,Wicker (R-MS),Nay
2598,Wyden (D-OR),Yea
2599,Young (R-IN),Yea
2600,Alexander (R-TN),Yea
2601,Baldwin (D-WI),Nay
2602,Barrasso (R-WY),Yea
2603,Bennet (D-CO),Nay
2604,Blackburn (R-TN),Yea
2605,Blumenthal (D-CT),Nay
2606,Blunt (R-MO),Yea
2607,Booker (D-NJ),Nay
2608,Boozman (R-AR),Yea
2609,Braun (R-IN),Yea
2610,Brown (D-OH),Nay
2611,Burr (R-NC),Yea
2612,Cantwell (D-WA),Nay
2613,Capito (R-WV),Yea
2614,Cardin (D-MD),Nay
2615,Carper (D-DE),Nay
2616,Casey (D-PA),Yea
2617,Cassidy (R-LA),Yea
2618,Collins (R-ME),Yea
2619,Coons (D-DE),Nay
2620,Cornyn (R-TX),Yea
2621,Cortez Masto (D-NV),Nay
2622,Cotton (R-AR),Yea
2623,Cramer (R-ND),Not Voting
2624,Crapo (R-ID),Yea
2625,Cruz (R-TX),Yea
2626,Daines (R-MT),Yea
2627,Duckworth (D-IL),Nay
2628,Durbin (D-IL),Nay
2629,Enzi (R-WY),Yea
2630,Ernst (R-IA),Yea
2631,Feinstein (D-CA),Nay
2632,Fischer (R-NE),Yea
2633,Gardner (R-CO),Yea
2634,Gillibrand (D-NY),Nay
2635,Graham (R-SC),Yea
2636,Grassley (R-IA),Yea
2637,Harris (D-CA),Nay
2638,Hassan (D-NH),Nay
2639,Hawley (R-MO),Yea
2640,Heinrich (D-NM),Nay
2641,Hirono (D-HI),Nay
2642,Hoeven (R-ND),Yea
2643,Hyde-Smith (R-MS),Yea
2644,Inhofe (R-OK),Yea
2645,Isakson (R-GA),Yea
2646,Johnson (R-WI),Yea
2647,Jones (D-AL),Yea
2648,Kaine (D-VA),Nay
2649,Kennedy (R-LA),Yea
2650,King (I-ME),Nay
2651,Klobuchar (D-MN),Nay
2652,Lankford (R-OK),Yea
2653,Leahy (D-VT),Nay
2654,Lee (R-UT),Yea
2655,Manchin (D-WV),Yea
2656,Markey (D-MA),Nay
2657,McConnell (R-KY),Yea
2658,McSally (R-AZ),Yea
2659,Menendez (D-NJ),Nay
2660,Merkley (D-OR),Nay
2661,Moran (R-KS),Yea
2662,Murkowski (R-AK),Not Voting
2663,Murphy (D-CT),Nay
2664,Murray (D-WA),Nay
2665,Paul (R-KY),Yea
2666,Perdue (R-GA),Yea
2667,Peters (D-MI),Nay
2668,Portman (R-OH),Yea
2669,Reed (D-RI),Nay
2670,Risch (R-ID),Yea
2671,Roberts (R-KS),Yea
2672,Romney (R-UT),Yea
2673,Rosen (D-NV),Nay
2674,Rounds (R-SD),Yea
2675,Rubio (R-FL),Yea
2676,Sanders (I-VT),Nay
2677,Sasse (R-NE),Yea
2678,Schatz (D-HI),Nay
2679,Schumer (D-NY),Nay
2680,Scott (R-FL),Yea
2681,Scott (R-SC),Not Voting
2682,Shaheen (D-NH),Nay
2683,Shelby (R-AL),Yea
2684,Sinema (D-AZ),Nay
2685,Smith (D-MN),Nay
2686,Stabenow (D-MI),Nay
2687,Sullivan (R-AK),Yea
2688,Tester (D-MT),Nay
2689,Thune (R-SD),Yea
2690,Tillis (R-NC),Yea
2691,Toomey (R-PA),Yea
2692,Udall (D-NM),Nay
2693,Van Hollen (D-MD),Nay
2694,Warner (D-VA),Nay
2695,Warren (D-MA),Nay
2696,Whitehouse (D-RI),Nay
2697,Wicker (R-MS),Yea
2698,Wyden (D-OR),Nay
2699,Young (R-IN),Yea
2700,Alexander (R-TN),Yea
2701,Baldwin (D-WI),Yea
2702,Barrasso (R-WY),Yea
2703,Bennet (D-CO),Yea
2704,Blackburn (R-TN),Yea
2705,Blumenthal (D-CT),Yea
2706,Blunt (R-MO),Yea
2707,Booker (D-NJ),Yea
2708,Boozman (R-AR),Yea
2709,Braun (R-IN),Yea
2710,Brown (D-OH),Yea
2711,Burr (R-NC),Yea
2712,Cantwell (D-WA),Yea
2713,Capito (R-WV),Yea
2714,Cardin (D-MD),Yea
2715,Carper (D-DE),Yea
2716,Casey (D-PA),Yea
2717,Cassidy (R-LA),Yea
2718,Collins (R-ME),Yea
2719,Coons (D-DE),Yea
2720,Cornyn (R-TX),Yea
2721,Cortez Masto (D-NV),Yea
2722,Cotton (R-AR),Yea
2723,Cramer (R-ND),Yea
2724,Crapo (R-ID),Yea
2725,Cruz (R-TX),Nay
2726,Daines (R-MT),Yea
2727,Duckworth (D-IL),Yea
2728,Durbin (D-IL),Yea
2729,Enzi (R-WY),Yea
2730,Ernst (R-IA),Yea
2731,Feinstein (D-CA),Yea
2732,Fischer (R-NE),Yea
2733,Gardner (R-CO),Yea
2734,Gillibrand (D-NY),Yea
2735,Graham (R-SC),Yea
2736,Grassley (R-IA),Yea
2737,Harris (D-CA),Yea
2738,Hassan (D-NH),Yea
2739,Hawley (R-MO),Yea
2740,Heinrich (D-NM),Yea
2741,Hirono (D-HI),Yea
2742,Hoeven (R-ND),Yea
2743,Hyde-Smith (R-MS),Yea
2744,Inhofe (R-OK),Nay
2745,Isakson (R-GA),Yea
2746,Johnson (R-WI),Nay
2747,Jones (D-AL),Yea
2748,Kaine (D-VA),Yea
2749,Kennedy (R-LA),Yea
2750,King (I-ME),Yea
2751,Klobuchar (D-MN),Yea
2752,Lankford (R-OK),Nay
2753,Leahy (D-VT),Yea
2754,Lee (R-UT),Nay
2755,Manchin (D-WV),Yea
2756,Markey (D-MA),Yea
2757,McConnell (R-KY),Yea
2758,McSally (R-AZ),Yea
2759,Menendez (D-NJ),Yea
2760,Merkley (D-OR),Yea
2761,Moran (R-KS),Yea
2762,Murkowski (R-AK),Yea
2763,Murphy (D-CT),Yea
2764,Murray (D-WA),Yea
2765,Paul (R-KY),Nay
2766,Perdue (R-GA),Yea
2767,Peters (D-MI),Yea
2768,Portman (R-OH),Yea
2769,Reed (D-RI),Yea
2770,Risch (R-ID),Yea
